"bench","sel","suc","file","proc","IF","loop","IfNode","LoopNode","pIfNode","pLoopNode","psize","s","sall","fakesel"
"aaparmeggiani--pg_tail",9,1,1,2,0,0,0,0,1,0,20,1,1,10
"aaparmeggiani--pg_tail",11,1,1,2,0,0,0,0,0,1,22,1,1,10
"aaparmeggiani--pg_tail",9,1,1,2,0,0,0,0,0,2,16,2,2,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,1,0,20,1,1,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,4,3,25,2,2,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,2,1,22,1,1,10
"aaparmeggiani--pg_tail",9,1,1,2,0,0,0,0,1,1,20,1,1,10
"aaparmeggiani--pg_tail",11,1,1,2,0,0,0,0,1,3,25,2,2,10
"aaparmeggiani--pg_tail",9,1,1,1,0,0,0,0,1,1,13,1,1,10
"aaparmeggiani--pg_tail",8,1,1,1,0,0,0,0,0,1,19,0,0,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,0,1,19,1,1,10
"aaparmeggiani--pg_tail",11,1,1,2,0,0,0,0,1,0,23,1,1,10
"aaparmeggiani--pg_tail",11,1,1,3,0,0,0,0,1,2,24,2,2,10
"aaparmeggiani--pg_tail",10,1,1,3,0,0,0,0,2,2,25,2,2,10
"aaparmeggiani--pg_tail",9,1,1,2,0,0,0,0,0,1,15,2,2,10
"aaparmeggiani--pg_tail",9,1,1,2,0,0,0,0,0,1,22,1,1,10
"aaparmeggiani--pg_tail",12,1,1,3,0,0,0,0,2,1,26,2,2,10
"aaparmeggiani--pg_tail",11,1,1,1,0,0,0,0,2,1,17,1,1,10
"aaparmeggiani--pg_tail",11,1,1,3,0,0,0,0,0,1,20,2,2,10
"aaparmeggiani--pg_tail",9,1,1,2,0,0,0,0,2,3,22,1,1,10
"aaparmeggiani--pg_tail",11,1,1,2,0,0,0,0,1,2,23,1,1,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,0,3,20,1,1,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,0,0,22,1,1,10
"aaparmeggiani--pg_tail",11,1,1,2,0,0,0,0,1,2,21,1,1,10
"aaparmeggiani--pg_tail",10,1,1,3,0,0,0,0,3,1,25,2,2,10
"aaparmeggiani--pg_tail",11,1,1,2,0,0,0,0,0,2,26,1,1,10
"aaparmeggiani--pg_tail",10,1,1,1,0,0,0,0,1,2,15,2,2,10
"aaparmeggiani--pg_tail",10,1,1,1,0,0,0,0,0,1,19,0,0,10
"aaparmeggiani--pg_tail",11,1,1,2,0,0,0,0,1,2,22,1,1,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,2,2,25,1,1,10
"aaparmeggiani--pg_tail",11,1,1,2,0,0,0,0,0,4,24,1,1,10
"aaparmeggiani--pg_tail",9,1,1,3,0,0,0,0,0,1,19,2,2,10
"aaparmeggiani--pg_tail",9,1,1,2,0,0,0,0,3,1,21,1,1,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,1,2,21,1,1,10
"aaparmeggiani--pg_tail",9,1,1,1,0,0,0,0,4,1,30,1,1,10
"aaparmeggiani--pg_tail",9,1,1,1,0,0,0,0,1,3,23,0,0,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,3,0,23,1,1,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,0,3,21,1,1,10
"aaparmeggiani--pg_tail",10,1,1,2,0,0,0,0,1,1,20,1,1,10
