bench, time
30dayMakeOS-master , 115.592
8cc-master , 8.564
Adafruit-GFX-Library-master , 4.196
adbi-master , 0.625
AdobeWebM-master , 3.334
afl.rs-master , 0.061
alilua-master , 3.39
Android-AppDaemon-master , 0.184
android-eye-master , 5.985
AndroidFFmpeg-master , 1.541
android-ffmpeg-x264-master , 1.297
android-unpacker-master , 0.178
AndroLua-master , 6.453
ansicon-master , 0.605
AOP-master , 0.443
arduino_uip-master , 1.221
athame-master , 0.731
Atlas-master , 9.737
attiny-master , 0.085
autopy-master , 3.917
awesome-vulkan-master , 0.025
azazel-master , 0.588
badvpn-master , 88.965
balde-master , 7.005
bar-master , 0.322
bashreduce-master , 0.151
bcrypt-ruby-master , 0.394
bcwc_pcie-master , 1.249
beansdb-master , 6.492
beanstalkd-master , 3.174
Bear-master , 0.408
binding_of_caller-master , 2.307
bither-android-lib-master , 10.287
bjoern-master , 0.691
bloomd-master , 12.184
bluepy-master , 10.138
bottledwater-pg-master , 0.034
brubeck-master , 2.367
bspwm-master , 5.592
Bumblebee-master , 1.419
bundler_sfm-master , 145.88400000000001
bwa-master , 7.841
bypass-master , 1.962
c4-master , 0.171
c-algorithms-master , 5.347
carp-master , 1.489
Carp-master , 3.123
cava-master , 1.112
c-blosc-master , 26.888
Cello-master , 11.313
ChameleonMini-master , 110.033
channel3-master , 1.354
ChinaDNS-master , 0.369
Chipmunk2D-master , 22.243
chocolate_duke3D-master , 27.728
citus-master , 14.769
cJSON-master , 12.085
ck-master , 10.338
clBLAS-master , 98.74199999999999
clib-master , 7.55
clink-master , 19.74
cloudfuse-master , 0.439
C-master , 1.75
cmus-master , 24.029
Collections-C-master , 23.026
compton-master , 2.699
cool.io-master , 2.355
core-master , 1.428
coroutine-master , 0.166
coturn-master , 15.279
cpulimit-master , 0.652
Criterion-master , 9.906
crochet-master , 1.018
cstore_fdw-master , 0.734
ctf-master , 0.454
ctrulib-master , 18.059
ctypes.sh-master , 3.824
CudaMiner-master , 3.742
curb-master , 1.86
CVE-2016-5195-master , 0.188
dablooms-master , 0.434
darkforestGo-master , 6.041
darknet-master , 8.035
DEC64-master , 2.777
decode-memcached-master , 3.658
demo-apps-master , 1.016
density-master , 3.957
devos-master , 14.329
discount-master , 2.856
disque-master , 26.707
dnscrypt-proxy-master , 30.522
dnspod-sr-master , 2.505
DOOM-master , 14.668
drmemory-master , 36.854
dump1090-master , 0.527
dumpdecrypted-master , 0.075
dunst-master , 3.23
dyad-master , 0.641
dynomite-master , 12.393
dzen-master , 0.915
EasyHook-master , 2.504
echo-nginx-module-master , 1.404
eddystone-master , 3.571
ejoy2d-master , 45.529
enet-master , 1.47
ergodox-firmware-master , 1.944
escape_utils-master , 0.618
esp-link-master , 5.375
esp_mqtt-master , 0.744
exfat-nofuse-master , 2.345
extension-master , 25.144
f3-master , 1.487
f9-kernel-master , 18.243
fastdfs-master , 0.038
fatcache-master , 3.127
fb-adb-master , 10.176
fbtft-master , 50.979
fdupes-master , 0.303
ffi-master , 9061.377
FFMpeg-master , 369.029
ffmpeg-tutorial-master , 1.543
firejail-master , 11.557
fishhook-master , 0.112
flashcache-master , 2.26
flatpak-master , 20.244
